Data,Open,High,Low,Close,Volume
1995-05-22,7.0724,7.0724,7.0724,7.0724,95568.0
1995-05-23,6.3759,6.3759,6.3759,6.3759,90007.0
1995-05-24,6.9841,6.9841,6.9841,6.9841,30059.0
1995-05-25,7.661,7.661,7.661,7.661,114848.0
1995-05-26,7.5236,7.5236,7.5236,7.5236,67296.0
1995-05-29,7.5236,7.5236,7.5236,7.5236,39701.0
1995-05-30,7.1901,7.1901,7.1901,7.1901,50545.0
1995-05-31,6.4937,6.4937,6.4937,6.4937,49735.0
1995-06-01,6.4152,6.4152,6.4152,6.4152,64014.0
1995-06-02,6.5133,6.5133,6.5133,6.5133,79280.0
1995-06-05,6.7193,6.7193,6.7193,6.7193,38914.0
1995-06-06,7.0233,7.0233,7.0233,7.0233,72076.0
1995-06-07,7.2294,7.2294,7.2294,7.2294,78191.0
1995-06-08,7.0233,7.0233,7.0233,7.0233,38067.0
1995-06-09,6.8272,6.8272,6.8272,6.8272,32688.0
1995-06-12,6.4348,6.4348,6.4348,6.4348,63346.0
1995-06-13,6.6212,6.6212,6.6212,6.6212,50395.0
1995-06-14,6.8272,6.8272,6.8272,6.8272,65227.0
1995-06-16,6.4152,6.4152,6.4152,6.4152,48342.0
1995-06-19,6.4152,6.4152,6.4152,6.4152,26821.0
1995-06-20,6.6212,6.6212,6.6212,6.6212,37397.0
1995-06-21,6.6212,6.6212,6.6212,6.6212,19043.0
1995-06-22,6.5133,6.5133,6.5133,6.5133,19799.0
1995-06-23,6.6604,6.6604,6.6604,6.6604,14416.0
1995-06-26,7.0037,7.0037,7.0037,7.0037,43455.0
1995-06-27,7.0233,7.0233,7.0233,7.0233,53720.0
1995-06-28,6.4545,6.4545,6.4545,6.4545,27967.0
1995-06-29,6.6212,6.6212,6.6212,6.6212,73217.0
1995-06-30,6.6212,6.6212,6.6212,6.6212,86665.0
1995-07-03,6.7193,6.7193,6.7193,6.7193,65847.0
1995-07-04,6.4741,6.4741,6.4741,6.4741,26488.0
1995-07-05,6.2092,6.2092,6.2092,6.2092,58557.0
1995-07-06,6.2092,6.2092,6.2092,6.2092,71606.0
1995-07-07,6.2681,6.2681,6.2681,6.2681,43228.0
1995-07-10,5.6501,5.6501,5.6501,5.6501,234325.0
1995-07-11,5.758,5.758,5.758,5.758,71564.0
